ATC code_L1,href_L1,name_L1,ATC code_L2,href_L2,name_L2,ATC code_L3,href_L3,name_L3,ATC code_L4,href_L4,name_L4,ATC code_L5,Name_L5,DDD_L5,U_L5,Adm.R_L5,Note_L5,href_L5,flag_DDD
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AA,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,Caries prophylactic agents,A01AA01,sodium fluoride,1.1,mg,O,0.5 mg fluoride,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AA,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,Caries prophylactic agents,A01AA02,sodium monofluorophosphate,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AA,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,Caries prophylactic agents,A01AA03,olaflur,1.1,mg,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AA,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,Caries prophylactic agents,A01AA04,stannous fluoride,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AA,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,Caries prophylactic agents,A01AA30,combinations,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AA,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,Caries prophylactic agents,A01AA51,"sodium fluoride, combinations",,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AA&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB02,hydrogen peroxide,60,mg,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB03,chlorhexidine,30,mg,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,40,mg,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB05,polynoxylin,0.18,g,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB06,domiphen,3,mg,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB07,oxyquinoline,80,mg,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB08,neomycin,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole,0.2,g,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB10,natamycin,20,mg,O,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,1
A,https://atcddd.fhi.no/atc_ddd_index/?code=A&showdescription=no,ALIMENTARY TRACT AND METABOLISM,A01,https://atcddd.fhi.no/atc_ddd_index/?code=A01&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01A,https://atcddd.fhi.no/atc_ddd_index/?code=A01A&showdescription=no,STOMATOLOGICAL PREPARATIONS,A01AB,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,Antiinfectives and antiseptics for local oral treatment,A01AB11,various,,,,,https://atcddd.fhi.no/atc_ddd_index/?code=A01AB&showdescription=no,0
